,tweet
2251,"Thanks to A.P. &amp; @RadioBasin for hosting Nick Kasperik, Joanne Tweedy, &amp; I in Gillette. Great way to start the day! https://t.co/H5m9EUxhIC"
2252,"I'm excited to join our great Campbell County chair, Joanne Tweedy, at Rotary in Gillette. Great minds think alike! https://t.co/tpmVRvTzrZ"
2253,Looking forward to it!  https://t.co/7DXK4Nvney
2254,Honored to have support of so many hard-working WY citizens-standing together to restore our freedoms! https://t.co/rmrmrD4PmP
2255,"Tax Day is another reminder that our tax system is broken. The IRS should be reigned-in or, even better, abolished. https://t.co/j84HwkK5C0"
2256,I’m honored by the record amount of support Team Cheney has received from every county across Wyoming. Join us! https://t.co/BVv2D4oY2P
2257,Thanks to Tammy &amp; everyone from Team Cheney who made it to Casper for a great #WYGOP convention! https://t.co/7m3WZB3Qyy
2258,Team Cheney is out in full force today at the #WYGOP State Convention in Casper. https://t.co/GagkNqCDc5
2259,Looking forward to it! https://t.co/TKggG5nGtG
2260,"Caitlin’s right, Wyoming has only one voice in the House of Representatives, so we need to make it count! Join us! https://t.co/3Z2vhgxGy8"
2261,Here's our daughter Grace at rodeo in Laramie &amp; her great great grandpa Ben Lybyer near Lysite 100 yrs ago #TBT https://t.co/Equ5vTcAnF
2262,"I don't just talk about the Code of the West, I live by it. Jim Owen is a legend &amp; I’m honored he’s on Team Cheney! https://t.co/XUEVDeIyJB"
2263,Protecting Wyoming fossil fuels is central to my campaign. The @FreeBeacon has more on my coal priorities. https://t.co/hf0uYC933I
2264,Our next Congressman is going to have to hit the ground running. That’s why I’m working to earn every vote. https://t.co/odYwYp9fGJ
2265,Wyoming coal is a national treasure. In Congress I'll work everyday to protect our fossil fuels &amp; fight for Wyoming. https://t.co/SpjvVyRdLl
2266,Fmr Wyoming #GOP Chair Tammy Hooper is an active member of our State Leadership Team. I'm proud to have her support! https://t.co/Vhff0uYbet
2267,Great to be with you guys! https://t.co/Oka0v1HQ0F
2268,I had a blast at the Library today with the #UWYO College Republicans! #GoWyo #GOP https://t.co/JByzTLjUn0
2269,Justice Scalia was a true hero &amp; tireless defender of our Constitution. This family photo was taken in December #TBT https://t.co/kYLT8HpQ8v
2270,Justice Scalia was a true hero &amp; tireless defender of our Constitution. This family photo was taken in December #TBT https://t.co/kYLT8HpQ8v
2271,Thanks to everyone who made it out to Team Cheney's successful &amp; well attended campaign lunch in Park County! https://t.co/bp1AuMOc9P
2272,Hillary Clinton pledged to put coal miners out of business. I'll stand with Wyoming coal to put Hillary out of work. https://t.co/jca0jlzctz
2273,Wyoming’s fossil fuels are a national treasure. Here are my priorities to stop Obama &amp; Clinton's War on Coal https://t.co/jca0jlzctz
2274,"I'm so honored to have the support of Marjorie Rainwater, a great GOP leader for Wyoming! https://t.co/Qi1xJTV4tl"
2275,The recent Cuba trip rubbed off on POTUS. Censoring official transcripts is straight out of the communist playbook. https://t.co/PDdjEDEwaJ
2276,My reaction to the announcement of mass layoffs at North Antelope Rochelle &amp; Black Thunder mines in Campbell County: https://t.co/wwDEcjYAt6
2277,"Three girls, one horse, a dozen years ago. My dear daughters are now 16, 18, and 21. #TBT https://t.co/TRt07XbKDW"
2278,.@Dakota_Meyer Thank you for your service to our nation. And thanks for the follow.
2279,"I’m running for Congress because I'll fight for Wyoming, not aid &amp; abet Democrat efforts to destroy our way of life. https://t.co/2HwUfeeBgQ"
2280,Jesus Christ is risen today. Alleluia! Alleluia! https://t.co/4Xw6guItf7 https://t.co/JjT3BnJdil
2281,We raise them tough in Wyoming - our girls shovel the field before they can play. #springbreaksoccer https://t.co/h2Gg2HQJAp
2282,"@jamiegangel Don't encourage them, Jamie!"
2283,Campaigning this week with my boys in Cheyenne reminded me of when I joined my dad in Casper City Park in 1978 #TBT https://t.co/z0mOzrsMrN
2284,"Our Team Cheney fundraiser in Cheyenne was a great success. Special thanks to Cory Schroeder, our generous host! https://t.co/JJLOimpMbs"
2285,Philip &amp; Richard perfected their anchoring skills @kgwntv yesterday. Today we're enjoying a snow day in Cheyenne. https://t.co/Hh7jHSuCdI
2286,"Bill Clinton didn’t make it to Cheyenne, but we did. In Congress I'll lead the fight to defend Wyoming energy jobs. https://t.co/5UUYjRYivs"
2287,"Bill Clinton canceled his trip, but my offer stands. I'll fight Hillary's threats to Wyoming jobs anytime, anywhere. https://t.co/sZVZVNKlFI"
2288,I had a blast! Looking forward to seeing you all again soon. https://t.co/3Hn5z8trUC
2289,Today was a great day in Cheyenne. Philip &amp; Richard were clearly honored to meet and spend time with Mayor Kaysen. https://t.co/ogFh18I2Hj
2290,Hillary Clinton’s promise to destroy Wyoming coal jobs is shameful. Listen to Team Cheney's first ad! https://t.co/JT60W35LQF
2291,My thoughts &amp; prayers are w/ the victims of today’s attacks in #Brussels. We must defeat the radical Islamic terrorists who threaten us all.
2292,"Bill Clinton shouldn't be asking for Wyoming votes, while Hillary is promising to kill our coal jobs. https://t.co/FpkkFHlKGw"
2293,Bill Clinton shouldn’t set foot in Wyoming until he explains Hillary's promise to put coal miners out of work. https://t.co/FpkkFHlKGw
2294,Saturday’s Team Cheney meeting in Casper was great! We welcomed more than 100 of our leaders from across Wyoming. https://t.co/0rHPUNLXYc
2295,Today's Throwback Thursday post comes from Casper and it shows how fast time passes. #TBT https://t.co/2StUbav8t9 https://t.co/V0ChCxQq0k
2296,"Happy Birthday to James Madison, a founder who was dedicated to the idea that the Constitution means what it says! https://t.co/JNczPaS5wM"
2297,I’ll fight any action to destroy Wyoming energy jobs &amp; I’ll stand up to anyone who threatens our way of life. https://t.co/OB8TULeMxB
2298,"Obama launched the war on coal, but it’s clear Hillary is dedicated to seeing it through. I will fight for Wyoming. https://t.co/OB8TULeMxB"
2299,Hank True has spent decades of his life working to make our communities stronger. I am honored to have his support! https://t.co/T3WTnhPT91
2300,I met Ivan &amp; Larry Eddy in Lusk today. Visit my Facebook page for Larry's Wyoming story https://t.co/6XDtTqct8p https://t.co/Je6tloP21Y
2301,I was so pleased to join Crook County Republicans at their successful Lincoln Day Dinner this weekend in Sundance. https://t.co/bJ8brcrXXC
2302,It was wonderful to spend time with so many fellow Wyoming Republicans at yesterday's Natrona County Convention. https://t.co/EC2l7RUxE8
2303,"So proud to have Hank True on Team Cheney, a friend &amp; leader who has done so much for Wyoming &amp; our nation! His LTE: https://t.co/Xu7iU20Rns"
2304,Sunrise this morning over Togwotee Pass. #God'sCountry https://t.co/ksvvGOnzEM
2305,My grandma served as a deputy sheriff in Natrona County. Her badge is a family treasure #TBT https://t.co/PqKvOEepwL https://t.co/eo3nitqdLq
2306,My grandma was the lone woman on Casper PD in the 1950s. Here I am on her lap in 1967 (the bow was her idea) #TBT https://t.co/5rifIPMfw8
2307,"My family is now five generations in this great state, and those who came before were a determined bunch #tbt https://t.co/3rjD7oy8ao"
2308,Joan &amp; Bill offer a terrific tour of the Southwest Sublette County Pioneers Senior Center. Great day in Marbleton! https://t.co/68WVqgVGtI
2309,I'm honored to have Abbey &amp; Rob Hardeman as dedicated members of our Teton County team! https://t.co/XW4dskYuxV
2310,Thanks to everyone who attended our packed campaign meet &amp; greet at the Wort Hotel. Team Cheney is growing everyday! https://t.co/FXEX3RsTD4
2311,"Grit, courage, and self-reliance are generational values that we in Wyoming hold dear. #tbt https://t.co/xll21SpiLf https://t.co/xHLQk8JWTL"
2312,"Talk about grit, this #tbt photo is of my great grandmother Mary Lybyer standing in Wyoming's Salt Creek oil fields: https://t.co/xll21S7HmF"
2313,I enjoyed caucusing with fellow Wyoming Republicans on #SuperTuesday at the Antler Inn #wycaucus https://t.co/yfpgS76VvP
2314,It was great to be on KYCN Kickin' Country 1340 again with Kent Smith. Thanks for having me on! https://t.co/egVQ4bBkdO
2315,"As Wyoming’s next Representative in Congress, I'll fight to get rid of big government interference like Common Core. https://t.co/NUuUstz2mF"
2316,WHAT IS 9 PLUS 6? I oppose Common Core because it doesn't add up for Wyoming children. | https://t.co/NUuUstz2mF
2317,Thanks to Amanda Fry from the Platte County Record-Times for our recent sit-down at the REA health fair in Wheatland https://t.co/NwfyBEWMsP
2318,Thanks to @GovMattMead &amp; Rep Rosie Berger for this week's wonderful prayer breakfast in Cheyenne. Honored to join with our daughter Gracie.
2319,Thanks to Adalberto and Teresa Acevedo for a delicious lunch and great company in Powell. https://t.co/PQ31J3fyZF
2320,"@JohnKerry on freed Gtmo terrorist who returned to terrorism: ""He isn't supposed to be doing that."" Here's an idea: stop releasing them."
2321,Thanks to our terrific Platte County team for hosting a wonderful Team Cheney Meet &amp; Greet in Wheatland. https://t.co/zD5eZgzOXs
2322,It was great to be with the Wyoming Stock Growers Association last night at their reception in Cheyenne. https://t.co/Z8hIcRoeVp
2323,Congress must be prepared to use any tools necessary to block this partisan plan that threatens our national security. (3/3)
2324,"Congress has rejected bringing foreign terrorists to America in legislation, which POTUS signed into law. (2/3)"
2325,We must stop President Obama and his illegal plan to transfer foreign terrorists onto U.S. soil. (1/3)
2326,"In case you missed it, check out my recent interview with the Northern Wyoming Daily News: https://t.co/p8LDiItHmX"
2327,Al Simpson showed what it means to be a strong leader for Wyoming. I’m proud to have his endorsement! https://t.co/lsTLijmVua
2328,I’ve looked up to Al Simpson my whole life. His endorsement of my candidacy means so much. https://t.co/b564hocY0U
2329,Sen. Simpson's service has inspired generations of Wyoming leaders. I am tremendously honored to have his support. https://t.co/MT2KpNUhWI
2330,"I enjoyed lunch today in Worland. Team Cheney is growing in
Washakie County! https://t.co/xuRoNYXyUr"
2331,Last night’s Fremont County meet &amp; greet was a fun way to grow Team Cheney and cap off a productive day in Lander. https://t.co/hMDvheIMwy
2332,Yesterday’s stop in Lander was a great opportunity to meet with our Fremont County team members. https://t.co/dzOTdvjMZQ
2333,Thanks to @RawDailyTimes for last week's sit down. I enjoyed talking about Wyoming &amp; the future of our country https://t.co/Qlqh927sh3
2334,"Justice Scalia was an American hero, one of the greatest Supreme Ct Justices in history. Our thoughts and prayers are with his dear family."
2335,Great to be with Jillian Balow and so many dedicated @WFRWomen at this morning's breakfast in Cheyenne. https://t.co/2oHxylmSRx
2336,I'm so proud to have Joy Teska serving as my campaign chair in Carbon County. Wonderful to be with her in Rawlins. https://t.co/qU8ZfJHGlg
2337,Wyoming’s freedom &amp; our national security are being threatened. I will fight to end the EPA's war on coal | More: https://t.co/CDb0tLBEOc
2338,Last night's meet &amp; greet in Rock Springs was great. Thank you for the warm welcome Sweetwater County! https://t.co/Bl4F45eGwB
2339,"Wyoming can lead US to energy renaissance &amp; independence. I'll fight
unconstitutional job-killing federal regulation https://t.co/2swImNs8uv"
2340,I enjoyed today’s interview with Al &amp; Faith. Looking forward to spending the day in Sweetwater County! https://t.co/bngULyHPjm
2341,POTUS’s so-called Clean Power Plan is a proven job killer for Wyoming that threatens our economy. https://t.co/2swImNs8uv
2342,SCOTUS action is an important first step towards stopping Pres. Obama's draconian carbon emissions regulations https://t.co/2swImNs8uv
2343,"I will fight to end Washington's war on Wyoming energy, mining &amp; agriculture. Great LTE, thanks for your support! https://t.co/KhMTuKGEb4"
2344,Really enjoyed talking with my friend @seanhannity. Honored and glad to have him as a supporter of Team Cheney! https://t.co/5rQFnEplKt
2345,Abby and Hank were more than happy to join us for lunch today. https://t.co/Yw2eTRh7W6
2346,More than 150 Wyoming leaders joined our campaign this week. We’re building a great team! https://t.co/3qoS6k2Ijo
2347,Thanks to Tom &amp; Julie Scarlett for hosting our Casper meet &amp; greet. We have a terrific team in Natrona County! https://t.co/MlWIxIux1e
2348,Glad to be on the air this morning discussing our campaign with Brian Scott from K2 Radio in Casper. https://t.co/HTwQ4EMeJR
2349,I was pleased to join @LydiaKCWY for an interview today at KCWY TV in Casper. https://t.co/1ADYEpibW6
2350,Great to be back in Sheridan to see old friends and meet with my terrific county team #teamcheney https://t.co/US5JRqhHcQ
2351,My announcement video discusses why I’m running and what we’re fighting for: https://t.co/NJCiKCUNl8
2352,Good coffee and conversation this afternoon at the Gillette Senior Center https://t.co/nFdL1UuTd5
